Table_name restart_count
IRE
BC9.5_jsmpeg 5
BJ1_jsmpeg 0
BJ3_jsmpeg 2
MR8A 6
MR8B 2
R1_jsmpeg 0
VPfh3_jsmpeg 10
VPpso4_jsmpeg 6
BC9.4_jsmpeg 4
BJ2_jsmpeg 2
BJ4_jsmpeg 0
BJ5_jsmpeg 1
VPdr7_jsmpeg 4
VPlfl6_jsmpeg 9
BC9.2_jsmpeg 2
BC9.3_jsmpeg 2
BJ1.6X_jsmpeg 2
BJ1.7X_jsmpeg 10
R1.2X_jsmpeg 0
R1.3S_jsmpeg 2
BC3.1_jsmpeg 0
DT12-C2_jsmpeg 0
DT12_jsmpeg 0
R2-1R_jsmpeg 2
R2-2G_jsmpeg 0
R2-3i_jsmpeg 0
BC9.1_jsmpeg 5
MOW13_jsmpeg 0
R7.1T_jsmpeg 0
SB4.1_jsmpeg 0
1 35h
4 30h
5 12h
2 11h
3 6h
BC4.2_jsmpeg 9
BC4.3_jsmpeg 1
BC4.4_jsmpeg 0
BC4.5_jsmpeg 8
R9.1_jsmpeg 2
BC3.2 2
BC3.3 9
BC3.4 0
BC3.5 0
SB9.1 0
SWB14 0
BJ11.1 0
BJ11.10 2
BJ11.2 0
BJ11.3 2
BJ11.4 2
BJ11.5 2
BJ11.6 4
BJ11.7 6
BJ11.8 0
BJ11.9 0
TEST 0
HK
BC9.5_jsmpeg 7
BJ1.1_jsmpeg 7
BJ1.3_jsmpeg 12
MR8A_jsmpeg 11
MR8B_jsmpeg 8
R1.1_jsmpeg 6
VPfh3_jsmpeg 18
VPpso4_jsmpeg 13
BC9.4_jsmpeg 9
BJ1.2_jsmpeg 6
BJ1.4_jsmpeg 6
BJ1.5_jsmpeg 5
VPdr7_jsmpeg 9
VPlfl6_jsmpeg 19
BC9.2_jsmpeg 6
BC9.3_jsmpeg 7
BJ1.6X_jsmpeg 9
BJ1.7X_jsmpeg 11
R1.2X_jsmpeg 8
R1.3S_jsmpeg 8
BC3.1_jsmpeg 6
DT12-C2_jsmpeg 3
DT12_jsmpeg 17
R2-1R_jsmpeg 9
R2-2G_jsmpeg 5
R2-3i_jsmpeg 7
BC9.1_jsmpeg 806
MOW13_jsmpeg 766
R7.1T_jsmpeg 545
SB4.1_jsmpeg 510
BC4.1_jsmpeg 14
BJ5.1_jsmpeg 9
R11.1_jsmpeg 5
R4.1_jsmpeg 8
RA5.1_jsmpeg 6
BC4.2_jsmpeg 498
BC4.3_jsmpeg 490
BC4.4_jsmpeg 503
BC4.5_jsmpeg 572
R9.1_jsmpeg 851
BC3.2 1873
BC3.3 1885
BC3.4 1942
BC3.5 1941
SB9.1 2836
BJ11.1 1147
BJ11.10 1323
BJ11.2 1142
BJ11.3 1177
BJ11.4 1180
BJ11.5 1220
BJ11.6 1211
BJ11.7 1264
BJ11.8 1260
BJ11.9 1319
China
BC3.2_jsmpeg 202…
BC9.5_jsmpeg 200…
BJ1.1_jsmpeg 198…
BJ1.3_jsmpeg 198…
MR8A 208…
MR8B_jsmpeg 204…
R1.1_jsmpeg 208…
VPfh3_jsmpeg 210…
VPpso4_jsmpeg 208…
BC3.3_jsmpeg 222…
BC9.4 189…
BJ1.2_jsmpeg 190…
BJ1.4_jsmpeg 186…
BJ1.5_jsmpeg 188…
VPdr7 246…
VPlfl6 220…
BC9.2_jsmpeg 220…
BC9.3_jsmpeg 220…
BJ1.6X_jsmpeg 222…
BJ1.7X_jsmpeg 223…
R1.2X_jsmpeg 226…
R1.3S_jsmpeg 223…
BC3.1_jsmpeg 221…
DT12_jsmpeg 145…
R2-1R_jsmpeg 216…
R2-2G_jsmpeg 234…
R2-3i_jsmpeg 218…
BC3.4_jsmpeg 205…
BC3.5_jsmpeg 219…
BC9.1_jsmpeg 244…
MOW13_jsmpeg 229…
R7.1T_jsmpeg 232…
SB4.1_jsmpeg 223…
BC4.1_jsmpeg 227…
BJ5.1_jsmpeg 227…
R11.1_jsmpeg 236…
R4.1_jsmpeg 227…
RA5.1_jsmpeg 251…
BC4.2_jsmpeg 216…
BC4.3_jsmpeg 220…
BC4.4_jsmpeg 219…
BC4.5_jsmpeg 222…
R9.1_jsmpeg 224…
BJ11.1 225…
BJ11.10 227…
BJ11.2 225…
BJ11.3 223…
BJ11.4 224…
BJ11.5 470…
BJ11.6 213…
BJ11.7 221…
BJ11.8 224…
BJ11.9 217…
SB9.1 248…
